url,titulo
https://www.youtube.com/embed/wF9iR3JBHdQ,"CNR Tijuana vialidad en el Murua a nada que se haga un socavón",Tijuana
https://www.youtube.com/embed/N7i819PFwY4,"CNR Tijuana Puentes vehiculares usados como hogar",Tijuana
https://www.youtube.com/embed/iMIxcAU-e6Y,"CNR Tijuana Reportera golpeada en el campamento migrante",Tijuana
https://www.youtube.com/embed/ZUFdXwxNieo,"CNR Tijuana Foco de infección por falta de agua limpia y baños en campamento migrante",Tijuana
https://www.youtube.com/embed/Z7X8OvCWvYo,"CNR Tijuana Cae hombre en alcantarilla abierta",Tijuana
https://www.youtube.com/embed/EwJf1D63XUk,"CNR Tijuana En el abandono parque “El mapa”",Tijuana
https://www.youtube.com/embed/SnCeAmme47g,"CNR Tijuana Improvisados señalamientos de advertencia",Tijuana
https://www.youtube.com/embed/f4mArN1B5OQ,"CNR Tijuana Falso aumento de multas de tránsito",Tijuana
https://www.youtube.com/embed/cR4kFCfW1KM,"CNR Tijuana Cambios bruscos de temperatura",Tijuana
https://www.youtube.com/embed/zkLYDlNLp5k,"CNR Mexicali sector salud sigue en alerta máxima con mexicali por las altas temperaturas",Mexicali
https://www.youtube.com/embed/_ZYUW6naqTM,"CNR Mexicali regidores dan posicionamiento tras intento de aumento de sueldo a empleados municipales",Mexicali
https://www.youtube.com/embed/qbPAHDJ0Wkw,"CNR Mexicali reculan aumento de salario de 26 empleados y exigen regidores la renuncia de implicado",Mexicali
https://www.youtube.com/embed/cPA9P9B8PNU,"CNR Mexicali cerca de 200 conductores detenidos por manejar en estado de ebriedad tras operativos",Mexicali
https://www.youtube.com/embed/bNgFLBkA19E,"CNR Mexicali policías solicitaron a la gobernadora electa una ley exclusiva de seguridad social",Mexicali
https://www.youtube.com/embed/rWpcGprIV6k,"CNR Rosarito Informe de gobierno de la alcaldesa de playas de rosarito Araceli Brown",Rosarito
https://www.youtube.com/embed/oggwIxlwTUc,"CNR Rosarito Secretaría de educación hace recorrido en las escuelas",Rosarito
https://www.youtube.com/embed/eWFN003RvDg,"CNR Tijuana Bomberos no atienden incendio",Tijuana
https://www.youtube.com/embed/OHcE5F2U648,"CNR Tijuana Aplican 1eras y 2das dosis de Pfizer en Tijuana",Tijuana
https://www.youtube.com/embed/OiiL4_B9ETc,"CNR Tijuana Obra de reparación sin terminar en la colonia los Altos",Tijuana
https://www.youtube.com/embed/bmra3jjioT8,"CNR Tijuana Mala reparación provoca fuga de agua potable",Tijuana
https://www.youtube.com/embed/7l_QWTqVYgc,"CNR Tijuana obras de rehabilitación en la secundaria técnica #3",Tijuana
https://www.youtube.com/embed/1Pz-1Pj8vLQ,"CNR Tijuana Vacunan contra covid a migrantes en campamento El Chaparral",Tijuana
https://www.youtube.com/embed/fVIYMSC3JR0,"CNR Tijuana Arreglan una obra y metros más adelante se manifiesta otra descompostura",Tijuana
https://www.youtube.com/embed/0-Tx7GBS3p4,"CNR Tijuana Obra sin nadie trabajando en plena zona rio",Tijuana
https://www.youtube.com/embed/FgLMVf9YWSU,"CNR Tijuana Carros oficiales de sedena, policía municipal estacionados frente a la fiscalía",Tijuana
https://www.youtube.com/embed/HVETlf6bz8A,"CNR Tijuana Gobierno del estado pone aviso de sanción por tirar basura",Tijuana
https://www.youtube.com/embed/amw65VNzQrI,"CNR Mexicali Se manifestaron Frente a los edificios del Poder Judicial y del Poder Ejecutivo",Mexicali
https://www.youtube.com/embed/VdR75sBuPVM,"CNR Mexicali el culpable de la intoxicación en restaurante de sushi, fue culpa del distribuidor",Mexicali
https://www.youtube.com/embed/FKynZOscGyE,"CNR Mexicali diputado en tu calle programa que arranca Sergio Moctezuma el fin de semana",Mexicali
https://www.youtube.com/embed/i2Dqu9TA_8Q,"CNR Mexicali realizan operativo en restaurantes en la zona sur para inhibir delitos",Mexicali
